id;budget;genres;original_language;original_title;title;overview;poster_path;production_companies;release_date;revenue;runtime;vote_average;vote_count;tagline
572802;205000000;["Action","Aventure","Fantastique"];en;Aquaman and the Lost Kingdom;Aquaman et le Royaume perdu;Alors qu'Arthur Curry affronte ses responsabilités de Roi des Sept Mers, un pouvoir antique enfoui depuis longtemps se déchaîne. Après avoir été témoin de l'effet de ces forces obscures, Aquaman doit forger une alliance difficile avec un vieil ennemi et se lancer dans un voyage périlleux pour protéger sa famille, son royaume et le monde d'une dévastation irréversible.;/w8r7NAEIGLPH5r3NhiMobEO80PS.jpg;["Warner Bros. Pictures","The Safran Company","Atomic Monster","DC Films","Domain Entertainment"];2023-12-20;412442014;124;7.009;1112;Que les océans se déchaînent.
787699;125000000;["Comédie","Familial","Fantastique"];en;Wonka;Wonka;Inspiré du personnage principal hors du commun de Charlie et la Chocolaterie, le best-seller de Roald Dahl qui est aujourd'hui l'un des livres pour enfants les plus vendus de tous les temps, "Wonka" est une histoire merveilleuse retraçant la jeunesse de Willy Wonka, et comment il est devenu ce grand inventeur, magicien et chocolatier que nous connaissons aujourd'hui. Dans ce spectacle saisissant et d'une créativité sans limites, les spectateurs découvriront un Willy Wonka jeune, la tête débordant d'idées et bien décidé à changer le monde à coups de délicieuses chocolateries. Il vous montrera que les meilleures choses de la vie commencent par un rêve, et qu'en rencontrant Willy Wonka, tout devient possible.;/aKAnL3sr5iz5SsOs89vS2k1XrKO.jpg;["Warner Bros. Pictures","Village Roadshow Pictures","The Roald Dahl Story Company","Heyday Films","Domain Entertainment"];2023-12-06;552652708;117;7.248;1633;Avant Charlie et la Chocolaterie il y avait Willy...
1022796;175000000;["Animation","Familial","Fantastique","Aventure"];en;Wish;Wish, Asha et la bonne étoile;Asha vit à Rosas, un royaume où tous les souhaits peuvent littéralement s'exaucer. Dans un moment de désespoir, elle adresse un vœu aux étoiles auquel va répondre une force cosmique :  une petite boule d'énergie infinie prénommée Star. Avec son aide, Asha doit sauver son royaume d'un roi et prouver que lorsque le courage d'un humain se lie à la magie des étoiles, de merveilleuses choses peuvent arriver.;/ai0Nmib9SKw21xpocmHKiUANWb.jpg;["Walt Disney Pictures","Walt Disney Animation Studios"];2023-11-13;233595858;95;6.625;520;Prenez garde à ce que vous souhaitez.
940551;72000000;["Animation","Aventure","Comédie","Familial","Action"];en;Migration;Migration;La routine règne chez les Colvert. Si papa Mack préfère garder les siens bien à l’abri dans leur étang de la Nouvelle-Angleterre, maman Pam veut changer les choses et faire découvrir le monde à leurs deux enfants, Dax l’ado et Gwen la cadette. Après qu’une famille de canards migrateurs s’est enflammée pour des récits parlant d’endroits très lointains, Pam persuade Mack d’embarquer la famille dans un long périple, depuis la ville de New York jusque sous les tropiques, en Jamaïque. Tandis que les Colvert s’envolent vers le Sud pour l’hiver, leurs projets bien rodés tombent rapidement à l’eau. Une expérience qui les pousse alors à étendre leurs horizons, à s’ouvrir à de nouveaux amis et à aller au-delà de leurs espoirs les plus fous, tout en apprenant davantage sur chacun et sur soi-mêm;/z41CiKh09ljWXqHoGNb4zLom03K.jpg;["Universal Pictures","Illumination"];2023-12-06;206040800;82;7.852;374;
1212073;0;["Action","Drame"];de;60 Minuten;Soixante minutes;Voulant à tout prix conserver la garde de sa fille, un combattant d'arts martiaux abandonne un match crucial et traverse Berlin pour assister à sa fête d'anniversaire.;/aajCqg315CoJPu1NmgPCkbRjnl6.jpg;["Nocturna Productions","Wiedemann & Berg Television"];2024-01-19;0;89;6.956;158;
955916;0;["Action","Comédie","Crime"];en;Lift;En plein vol;Dirigée par Cyrus Whitaker, une équipe internationale de braqueurs tente de s'emparer de 500 millions de dollars en or dans un avion en plein vol.;/wchSjpt6GbzmGif1ble2OC2Xi3B.jpg;["Genre Films","6th & Idaho","HartBeat Productions"];2024-01-10;0;104;6.492;601;
906126;65500000;["Drame","Histoire"];es;La sociedad de la nieve;Le Cercle des neiges;Le 13 octobre 1972, le vol 571 de l'armée de l'air uruguayenne, affrété pour transporter une équipe de rugby au Chili, s'écrase sur un glacier au cœur des Andes.;/nDbV9AUeUc7Zf5vUAqoagF7O8M7.jpg;["El Arriero Films","Misión de Audaces Films","Netflix"];2023-12-13;0;145;8.106;1521;Inspiré d'une incroyable histoire vraie
792307;35000000;["Science-Fiction","Romance","Comédie"];en;Poor Things;Pauvres créatures;Après s'être noyée pour échapper à son mari violent, le cerveau de Bella Baxter est remplacé par celui de son enfant à naître.;/5fT98da9ccWN2xr8VOJrSBp3Cdw.jpg;["Searchlight Pictures","Film4 Productions","TSG Entertainment","Element Pictures","Limp","Fruit Tree"];2023-12-07;51800000;141;8.2;571;
508883;50000000;["Animation","Aventure","Fantastique"];ja;君たちはどう生きるか;Le garçon et le héron;Après la disparition de sa mère dans un incendie, Mahito, un jeune garçon de 11 ans, doit quitter Tokyo pour partir vivre à la campagne dans le village où elle a grandi. Il s’installe avec son père dans un vieux manoir situé sur un immense domaine où il rencontre un héron cendré qui devient petit à petit son guide et l’aide au fil de ses découvertes et questionnements à comprendre le monde qui l'entoure et percer les mystères de la vie.;/f9EoS3lVr644WXO8YPRvBiTS1K.jpg;["Studio Ghibli"];2023-07-14;159000000;124;7.5;866;
848187;0;["Action","Comédie","Romance"];en;Role Play;Role Play;Emma et Dave pimentent leur soirée d'anniversaire avec un jeu de rôle à New York. Mais les choses deviennent dangereuses lorsque la vie secrète d'assassin international de Emma, inconnue de Dave, est exposée par Bob, ce qui met en danger sa famille. Emma doit se servir de ses compétences mortelles et sa détermination pour protéger sa famille à tout prix.;/nAdbrQvzIlqGTmod9kgsbKeCLAV.jpg;["StudioCanal","The Picture Company","Studio Babelsberg","StudioCanal"];2023-12-14;0;101;6.115;244;Chaque couple a ses secrets.
1072790;25000000;["Comédie","Romance"];en;Anyone But You;Tout sauf toi;Bea et Ben ont tout du couple parfait, mais après un premier rendez-vous idéal, un incident refroidit leur attirance réciproque jusqu'à leurs retrouvailles inattendues lors d'un mariage en Australie. Ils font alors ce que n'importe quel adulte mature ferait dans cette situation : prétendre être en couple.;/nMOxWa9rBfwOMsgzRaFgQXjHsTa.jpg;["Olive Bridge Entertainment","Fifty-Fifty Films","Roth-Kirschenbaum Films","SK Global Entertainment","Columbia Pictures","TSG Entertainment"];2023-12-21;126221578;104;7.4;155;
872585;100000000;["Drame","Histoire"];en;Oppenheimer;Oppenheimer;En 1942, convaincus que l'Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le "Projet Manhattan" destiné à mettre au point la première bombe atomique de l’histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien, qui sera bientôt surnommé "le père de la bombe atomique". C'est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point une arme révolutionnaire dont les conséquences, vertigineuses, continuent de peser sur le monde actuel…;/boAUuJBeID7VNp4L7LNMQs8mfQS.jpg;["Syncopy","Universal Pictures","Atlas Entertainment"];2023-07-19;952000000;181;8.113;6448;Le monde changera à jamais.
866398;36000000;["Action","Thriller","Drame"];en;The Beekeeper;The Beekeeper;La quête brutale de vengeance d’un homme prend des proportions démesurées alors que son passé d’agent secret d’une puissante organisation clandestine connue sous le nom des Apiculteurs est révélé.;/pZIBf6sc5ZcascB6lKHo5NhXcOz.jpg;["Miramax","Cedar Park Entertainment","Punch Palace Productions"];2024-01-10;104500000;105;7.422;224;
